# kdesrc-build running: 'make' '-j' '8'
# from directory: /home/szybet/kdesrc/build/frameworks/kcodecs
[  1%] Built target translations_3
[  1%] Built target translations_4
[  2%] Built target translations_5
[  3%] Built target translations_1
[  4%] Built target translations_2
[  5%] Built target translations_6
[  5%] Built target translations_7
[  6%] Built target translations_8
[  8%] Built target translations_11
[  8%] Built target translations_9
[  9%] Built target translations_12
[  9%] Built target translations_10
[ 10%] Built target translations_14
[ 10%] Built target translations_13
[ 11%] Built target translations_15
[ 11%] Built target translations_16
[ 12%] Built target translations_18
[ 14%] Built target translations_17
[ 14%] Built target translations_20
[ 14%] Built target translations_21
[ 14%] Built target translations_19
[ 15%] Built target translations_22
[ 16%] Built target translations_23
[ 17%] Built target translations_24
[ 17%] Built target translations_25
[ 17%] Built target translations_28
[ 18%] Built target translations_26
[ 19%] Built target translations_27
[ 19%] Built target translations_30
[ 20%] Built target translations_29
[ 21%] Built target translations_31
[ 22%] Built target translations_32
[ 23%] Built target translations_33
[ 24%] Built target translations_34
[ 24%] Built target translations_36
[ 25%] Built target translations_35
[ 25%] Built target translations_37
[ 26%] Built target translations_38
[ 27%] Built target translations_40
[ 28%] Built target translations_39
[ 29%] Built target translations_41
[ 30%] Built target translations_43
[ 31%] Built target translations_44
[ 31%] Built target translations_42
[ 32%] Built target translations_45
[ 33%] Built target translations_46
[ 33%] Built target translations_47
[ 34%] Built target translations_48
[ 35%] Built target translations_50
[ 35%] Built target translations_49
[ 36%] Built target translations_52
[ 37%] Built target translations_53
[ 37%] Built target translations_51
[ 38%] Built target translations_55
[ 39%] Built target translations_56
[ 39%] Built target translations_54
[ 40%] Built target translations_57
[ 40%] Built target translations_58
[ 40%] Built target translations_60
[ 41%] Built target translations_59
[ 42%] Built target translations_61
[ 43%] Built target translations_62
[ 44%] Built target translations_64
[ 44%] Built target translations_63
[ 45%] Built target translations_65
[ 45%] Built target translations_67
[ 46%] Built target translations_66
[ 47%] Built target translations_68
[ 48%] Built target translations_70
[ 49%] Built target translations_71
[ 49%] Built target translations_72
[ 50%] Built target translations_69
[ 51%] Built target translations_74
[ 52%] Built target translations_73
[ 52%] Built target translations_75
[ 53%] Built target translations_76
[ 54%] Built target translations_77
[ 55%] Built target translations_78
[ 55%] Built target translations_79
[ 56%] Built target translations_80
[ 56%] Built target translations_81
[ 57%] Built target translations_82
[ 58%] Built target translations_83
[ 58%] Built target translations_84
[ 59%] Built target translations_85
[ 60%] Built target translations_86
[ 60%] Built target translations_87
[ 61%] Built target translations_88
[ 62%] Built target translations_89
[ 62%] Built target translations_90
[ 63%] Built target translations_91
[ 64%] Built target translations_92
[ 64%] Built target translations_93
[ 65%] Built target translations_94
[ 65%] Built target translations_96
[ 66%] Built target translations_95
[ 67%] Built target translations_97
[ 68%] Built target translations_98
[ 69%] Built target translations_99
[ 70%] Built target translations_100
[ 71%] Automatic MOC for target KF5Codecs
[ 71%] Built target KF5Codecs_autogen
[100%] Built target KF5Codecs
